IDP Drought,SPI ,Food Prices,Livestock Prices,Water Prices,fatalities
8,0.547339603102448,31.7684500245766,0.0021032389306777,0.872512047167879,28
136,0.545971302707026,31.4651887309631,0.0020889112220233,0.874125874125874,31
128,0.425951534782686,32.3989170590943,0.0020486339001399,0.875927616218282,21
128,0.349825294720213,34.5696350089702,0.0019824069650276,0.877917273445103,24
128,0.310978145317778,36.8850433370503,0.0019081319724757,0.879390665808311,8
120,0.266181842096132,38.2528427997943,0.0018437104782734,0.879643613309882,5
128,0.256280943139765,38.6730333972021,0.0017891424824208,0.878676115949816,5
128,0.250498635465706,38.1456151292737,0.0017444279849179,0.876488173728113,62
135,0.238913984873732,36.8305017551906,0.0017127198422824,0.873282877880456,60
15,0.246128736513308,35.6871758300422,0.0017129351936204,0.87027877582094,61
7,0.242920192379992,34.8755511130098,0.0017482268954496,0.86767895878525,61
10,0.2429516945747,34.3956276040935,0.00181859494777,0.865483426773384,1
3,0.037821369193162,34.2474053032934,0.0019240393505817,0.863692179785343,6
3,0.173401121299293,34.4204449106695,0.0020282431130639,0.86230619328139,5
29,-0.148839268354641,34.9043071262823,0.002094889244396,0.861326442721792,5
29,-0.574910833766204,35.6989919501317,0.0021239777445781,0.860752928106546,13
29,0.0322164047509275,36.8044993822177,0.0021155086136101,0.860585649435654,18
51,0.134683343411324,38.1251509088069,0.0020728300573813,0.860843714395605,26
31,-0.129031215434706,39.0868754474996,0.0020160313112277,0.86164176910534,26
28,-0.157907129022583,39.5939944845623,0.0019484605810387,0.862998921251348,18
28,-0.160067415030136,39.6465080199952,0.0018701178668142,0.86491517083363,10
6,-0.11666457445514,39.2444160537982,0.0017810031685543,0.867390517852185,2
0,-0.114450288918639,38.7287235853259,0.0017073072348866,0.869311640605311,2
0,-0.0491490084029445,38.440435613933,0.0016752208144386,0.869565217391304,13
5,-0.0209752669678083,38.3795521396195,0.0016847439072104,0.868151248210165,13
5,-0.019389532523203,38.5460731623855,0.0017358765132021,0.865069733061893,18
5,0.0065950204661499,38.7951048653165,0.0017933961529488,0.861621288032906,18
40,0.0173113889744829,38.9817534314982,0.0018220803469858,0.859106529209622,21
35,0.10359148401591,39.1060188609305,0.0018219290953131,0.857525456592041,19
35,0.123341546190304,39.1679011536135,0.0017929423979307,0.856878070180161,14
35,0.150614095807061,39.1855248985253,0.0017445097280046,0.857004090816857,17
0,0.216044638139553,39.2676376295351,0.0017329679245302,0.856941843559358,5
0,0.216274167090217,39.432363935621,0.0017677064606734,0.856531049250535,21
0,0.223612389577484,39.6797038167829,0.0018487253364343,0.85577170789039,29
0,0.232196835789533,40.0096572730209,0.0019760245518128,0.854663819478922,29
0,0.235710518209077,40.6565189131485,0.0020800423758205,0.851996995280839,27
29,0.231981481028639,41.8545833459791,0.0020912170774687,0.846560846560847,11
40,0.240254436705329,43.6038505715128,0.0020095486567575,0.838355373318945,14
40,0.202334343368368,45.9043205897494,0.0018350371136868,0.827380575555136,11
40,0.0388411676995547,48.1315468624345,0.0016312814930919,0.823999307523991,11
134,-0.136011064032044,49.6610828513134,0.0014618808398076,0.838574423480084,34
146,-0.243552684447841,50.4929285563861,0.0013268351538342,0.871105923423415,23
146,-1.21740287490559,50.6270839776527,0.0012261444351715,0.921593807353985,42
146,-2.00341620684635,50.1935249796938,0.0011520853813953,0.986693392084451,43
23,-2.00525418049074,49.9721067499938,0.0010583181779596,1.04633657849076,20
29,-1.88578732138913,50.0928051531335,0.0009371195224401,1.09717868338558,20
52,-1.60261850330299,50.5556201891128,0.0007884894148368,1.1392197067689,5
55,-1.64077820886089,51.3605518579318,0.0006124278551497,1.17245964864073,4
55,-1.64451525965591,52.3392630502744,0.0004660590880078,1.21722019663792,18
330,-1.76194805279112,53.3234166568245,0.0004065073580399,1.29382303839733,28
1062,-1.8180220142606,54.3130126775821,0.0004337726652462,1.40226817391897,40
1279,-1.81890456610052,55.3080511125473,0.0005478550096266,1.54255560320283,40
2230,-1.86827784710403,56.2400182514727,0.0007336472632409,1.70082284428459,36
2305,-1.88905181727624,56.697831832874,0.000900506658448,1.79389500537835,26
2758,-2.06591138540317,56.6129781465038,0.0010333260673077,1.80790960451977,17
2749,-2.10902671462969,55.9854571923622,0.00113210548982,1.74286664170887,22
5885,-2.17035851217236,54.8152689704491,0.0011968449259849,1.59876611694564,66
6484,-2.32688581369793,54.0276859208028,0.0012367587809596,1.47924859770367,66
9680,-2.32633912000884,54.5479804834615,0.0012610614599013,1.48795465145655,61
15852,-2.39353797944786,56.3761526584251,0.00126975296281,1.6248842782043,56
15839,-2.41469944866869,59.5122024456937,0.0012628332896856,1.8900374779469,7
16263,-2.46050035152533,62.5639657114933,0.0012626494121819,2.12504876661819,8
21637,-2.46050035152533,64.13927832205,0.0012915483019524,2.17155266015201,8
25347,-2.35050608473973,64.2381402773637,0.0013495299589972,2.02954915854835,18
27453,-2.35332889482966,62.8605515774345,0.0014365943833163,1.69903826180722,18
30035,-2.43875179272995,61.0125083176159,0.0015149758818971,1.33129295092462,17
23051,-2.29317648118458,59.7000065932617,0.001546908761727,1.07758620689655,67
21634,-2.11855499183865,58.9230464043718,0.0015323930228059,0.937918029723023,57
23616,-1.37962337938572,58.6816277509463,0.001471428665134,0.912288419404031,62
25458,-0.832397971305722,58.8650376329515,0.0013747703452032,0.98348512110606,62
23983,-0.733595994162943,58.808998050186,0.0013069460019648,1.04823460582802,26
16130,-0.757098058020787,58.402796002616,0.001278710291911,1.08932461873638,26
8199,-0.960461936163327,57.6464314902418,0.0012900632150417,1.10675515983116,36
6513,-0.828296047042354,56.5399045130633,0.0013410047713569,1.10052622911235,36
5920,-0.821160966968494,55.2746504308228,0.0014062512329934,1.08599432903052,28
10513,-0.733635297369432,54.0421046032629,0.0014605188720879,1.07851596203624,29
13352,-0.734414834179119,52.8422670303834,0.0015038076886404,1.0780911281295,13
11134,-0.72448703156723,51.6751377121845,0.001536117682651,1.08471982731031,13
16601,-0.677792774833806,50.7464324773033,0.0015526776667147,1.10394369030154,12
13551,-0.648095295265877,50.2618671543769,0.0015487164534266,1.14130434782609,12
14119,-0.576597073747779,50.2214417434053,0.0015242340427866,1.19680179988394,13
14520,-0.498162303222249,50.6251562443886,0.0014792304347948,1.2704360464751,13
10771,-0.446051577220968,51.4040947632273,0.0014184913034388,1.35861062994923,19
9003,-0.440573059619362,52.1447619353262,0.001370730692644,1.43974680440426,21
7086,-0.368585312062506,52.7782418665858,0.0013407342763979,1.51024811218986,16
7161,-0.316854694781049,53.3045345570063,0.0013285020547006,1.57011455330602,16
5139,-0.316179539172059,53.7236400065875,0.001334034027552,1.61934612775275,14
6109,-0.315762485347853,53.924943899646,0.0013539798179364,1.63882718139203,17
5409,-0.314030219386883,53.7978319204983,0.0013849890488383,1.60944206008584,20
4921,-0.322533742269908,53.3423040691444,0.0014270617202576,1.53119076383418,25
4820,-0.31762427246255,52.5583603455843,0.0014801978321942,1.40407329263705,14
4722,-0.563047130556919,51.488698152053,0.0015411326141954,1.24155261656049,8
4083,-0.461925299746604,50.3895019019604,0.0015902774435445,1.12440655600061,5
3429,-0.220792886618635,49.3034689975416,0.0016243675497886,1.06609808102345,0
4001,-0.715881544386578,48.2305994387967,0.0016434029329278,1.06662719162902,0
4540,-0.425208665719872,47.1708932257255,0.0016473835929621,1.1259938878173,2
5502,-0.236164458027038,46.2725221766576,0.0016428396176034,1.208037096523,10
5078,-0.281007551997471,45.6836581099223,0.0016363010945636,1.27659574468085,10
4395,-0.278516928630461,45.4043010255197,0.0016277680238429,1.33166983229084,112
3752,-0.416916522632849,45.4344509234498,0.0016172404054412,1.37325935935296,122
5608,-0.423176400970033,45.5308576707296,0.0016041195979786,1.41406357000114,114
5070,-0.502073481192934,45.4502711343761,0.001587806960075,1.46678170836928,115
5336,-0.505026869269458,45.1926913143893,0.0015683024917304,1.53141377445739,18
4121,-0.515492494987395,44.7581182107692,0.001545606192945,1.60795976826546,10
1797,-0.559753901188969,44.1490930963907,0.0015216012390629,1.68821405163661,12
1972,-0.588601312951139,43.3808636085033,0.0015075866821505,1.72294279562953,12
2904,-0.660384214795275,42.4559710199818,0.0015054456975521,1.70394036208733,11
4306,-0.743153854026262,41.3744153308263,0.0015151782852676,1.63120675101001,21
5313,-0.800639354871523,40.1361965410367,0.0015367844452971,1.50474196239757,27
5034,-0.806804376890073,39.114540684167,0.0015659395054351,1.38757024858936,26
4818,-0.890239511775919,38.6826737937711,0.0015983187934759,1.34271586192469,23
4863,-0.950805487309558,38.8405958698488,0.0016339223094197,1.37017880240357,9
3379,-0.833086981652961,39.5883069124004,0.0016727500532664,1.469959070026,11
3439,-0.820718857272399,40.6114599062218,0.0017094685757221,1.57236802856676,12
2591,-0.695687103818444,41.5957078361092,0.0017387444274931,1.60771704180064,11
1172,-0.66779280836461,42.5410507020625,0.0017605776085793,1.57600610972765,13
1502,-0.439411974425862,43.4474885040817,0.0017749681189807,1.47723523234777,9
1974,0.125381963807317,44.0761437024773,0.001784717350126,1.3633194076043,9
1737,0.721340703977931,44.1881387575596,0.0017926266934438,1.28617363344051,11
2000,0.81680911402431,43.7834736693285,0.0017986961489341,1.24579790985643,9
1399,0.998810429055972,42.8621484377841,0.0018029257165969,1.24219223685203,9
1555,1.10865063221693,41.5009913443523,0.0018034275446389,1.26916868546653,20
1555,0.96087889632926,40.1609720775886,0.0017888745223008,1.28959968193522,21
1135,1.32257946843287,38.9189189189189,0.0017573787977894,1.2972972972973,21
1477,1.34153942776754,37.7748318683433,0.0017089403711046,1.29226153155277,15
1545,1.35874321634573,36.7287109258617,0.0016435592422464,1.27449238470163,4
1667,1.36068744650315,35.8130738757093,0.0015854620004895,1.25092667694931,11
1930,1.361662536148,35.0604385021211,0.0015588752351088,1.22850122850123,12
2011,1.386970580629,34.4708048050971,0.0015637989461042,1.20721603935739,14
2334,1.41506619011431,34.0441727846373,0.0016002331334757,1.1870711095178,19
2360,1.45324520798258,33.7653809573394,0.0016617028193429,1.16762528313314,9
2245,1.4625754472694,33.5434604227893,0.0017093581364226,1.14623162510759,14
1742,1.49469253263438,33.3632496975846,0.0017367241068345,1.12244897959184,13
531,1.53939782184267,33.2247487817253,0.0017438007305785,1.09627734658588,7
1087,1.57645174766949,33.1279576752115,0.0017305880076546,1.06771672608972,7
